"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,68,"ECU","Ecuador",1,"Azuay","Provincia","Province",NA,NA
2,68,"ECU","Ecuador",2,"Bolivar","Provincia","Province",NA,NA
3,68,"ECU","Ecuador",3,"Cañar","Provincia","Province",NA,NA
4,68,"ECU","Ecuador",4,"Carchi","Provincia","Province",NA,NA
5,68,"ECU","Ecuador",5,"Chimborazo","Provincia","Province",NA,NA
6,68,"ECU","Ecuador",6,"Cotopaxi","Provincia","Province",NA,"Le¢n"
7,68,"ECU","Ecuador",7,"El Oro","Provincia","Province",NA,NA
8,68,"ECU","Ecuador",8,"Esmeraldas","Provincia","Province",NA,NA
9,68,"ECU","Ecuador",9,"Galápagos","Provincia","Province",NA,NA
10,68,"ECU","Ecuador",10,"Guayas","Provincia","Province",NA,NA
11,68,"ECU","Ecuador",11,"Imbabura","Provincia","Province",NA,NA
12,68,"ECU","Ecuador",12,"Loja","Provincia","Province",NA,NA
13,68,"ECU","Ecuador",13,"Los Rios","Provincia","Province",NA,NA
14,68,"ECU","Ecuador",14,"Manabi","Provincia","Province",NA,NA
15,68,"ECU","Ecuador",15,"Morona Santiago","Provincia","Province",NA,NA
16,68,"ECU","Ecuador",16,"Napo","Provincia","Province",NA,NA
17,68,"ECU","Ecuador",17,"Orellana","Provincia","Province",NA,NA
18,68,"ECU","Ecuador",18,"Pastaza","Provincia","Province",NA,NA
19,68,"ECU","Ecuador",19,"Pichincha","Provincia","Province",NA,NA
20,68,"ECU","Ecuador",20,"Santa Elena","Provincia","Province",NA,NA
21,68,"ECU","Ecuador",21,"Santo Domingo de los Tsáchilas","Provincia","Province",NA,NA
22,68,"ECU","Ecuador",22,"Sucumbios","Provincia","Province",NA,NA
23,68,"ECU","Ecuador",23,"Tungurahua","Provincia","Province",NA,NA
24,68,"ECU","Ecuador",24,"Zamora Chinchipe","Provincia","Province",NA,NA
